ID,name,description
1,Fiction,Stories that are imaginative and not based on real events
2,Non-Fiction,Literature based on real events facts and information
3,Mystery,Stories involving crime investigation and suspense
4,Fantasy,Stories featuring magic mythical creatures and supernatural elements
5,Science Fiction,Stories based on futuristic science technology and space exploration
6,Romance,Stories centered around love and romantic relationships
7,Horror,Stories designed to frighten disturb and unsettle the reader
8,Thriller,Fast-paced stories with high tension suspense and excitement
9,Biography,Account of a real persons life written by someone else
10,History,Literature focused on past events people and civilizations